199,196,224
199,195,222
198,195,221
199,195,223
199,195,223
200,194,220
199,194,221
198,194,223
199,194,222
199,194,220
199,194,219
199,194,224
194,196,206
193,213,194
194,223,196
196,198,220
198,210,232
197,210,230
198,210,233
197,211,229
198,211,235
198,211,229
198,211,233
198,211,230
188,213,227
196,211,228
196,210,233
198,210,230
197,211,230
196,210,232
195,225,225
203,212,234
194,201,223
194,205,223
194,204,228
194,204,226
194,204,223
195,203,224
195,203,228
193,204,223
194,203,224
195,203,228
192,203,220
200,189,199
197,196,203
196,196,204
196,196,204
196,197,202
196,196,201
196,197,200
196,196,203
196,197,204
196,197,200
196,196,200
196,197,201
197,197,203
196,196,204
196,208,229
194,215,230
195,216,226
194,216,226
194,216,226
194,216,231
194,216,231
191,206,220
186,217,210
192,213,206
189,216,220
188,206,214
